필드명,설명,예시,타입
,,,
beginDate,여행 시작일입니다.,2026-07-01,DATE
details[].placeId,관광지 기반 일정인 경우의 장소 ID입니다.,10,INT
endDate,여행 종료일입니다.,2026-07-03,DATE
details[].sceneId,드라마 촬영지 기반 일정인 경우의 촬영지 ID입니다.,3,INT
details[].detailId,세부 일정의 고유 ID입니다.,1,INT
updatedAt,여행 계획 최종 수정 일시입니다.,2026-06-03T13:30:00,DATETIME
details[].dayNo,여행 N일차입니다.,1,INT
memberId,여행 계획을 소유한 Member의 고유 ID입니다.,5,INT
details,수정된 여행 계획 세부 일정 목록입니다.,"[{""detailId"":1,""dayNo"":1,""beginTime"":""09:00"",""endTime"":""11:00"",""placeId"":10}]",ARRAY
title,수정된 여행 계획 제목입니다.,부산 드라마 촬영지 여행,STRING
details[].endTime,세부 일정 종료 시간입니다.,11:00,TIME
createdAt,여행 계획 생성 일시입니다.,2026-06-03T12:00:00,DATETIME
details[].beginTime,세부 일정 시작 시간입니다.,09:00,TIME
planId,수정된 여행 계획의 고유 ID입니다.,1,INT
