기능명,API ID,권한,메서드,비고,설명,엔드포인트,인증필요?
드라마 리스트 조회,API-001,"ADMIN, LOGOUT-USER, USER",GET,,검색 페이지에서 드라마의 리스트를 보여준다.,api/v1/dramas,NO
드라마 씬 리스트 조회,API-002,"ADMIN, LOGOUT-USER, USER",GET,,드라마를 클릭하면 해당 드라마의 씬 목록 을 보여준다.,api/v1/dramas/{dramaId},NO
드라마 검색 조회,API-003,"ADMIN, LOGOUT-USER, USER",GET,,Query Param의 Query Content를 기반으로 유효한 드라마의 리스트를 보여준다.,api/v1/dramas/search,NO
드라마 씬 조회,API-004,"ADMIN, LOGOUT-USER, USER",GET,,드라마가 가지는 scene들의 list를 조회,api/v1/dramas/{dramaId}/scenes,NO
드라마 씬 세부 조회,API-005,"ADMIN, LOGOUT-USER, USER",GET,,scene의 세부정보를 조회,api/v1/scenes/{sceneId},NO
위시 리스트에 씬 추가,API-006,"ADMIN, LOGOUT-USER, USER",POST,,scene을 wishlist에 추가,api/v1/wishlist/{sceneId},YES
사용자 위시 리스트 조회,API-007,"ADMIN, USER",GET,LOGOUT-USER: 브라우저 저장소 사용,로그인한 사용자의 위시리스트에 등록된 scene목록을 조회합니다.,api/v1/wishlist,YES
위시리스트에서 씬 제거,API-008,"ADMIN, USER",DELETE,LOGOUT-USER: 브라우저 저장소 사용,지정한 위시리스트 항목 ID에 해당하는 항목을 사용자의 위시리스트에서 삭제한다.,api/v1/wishlist/{wishlistId},YES
여행 일정 만들기,API-009,"ADMIN, USER",POST,LOGOUT-USER: 브라우저 저장소 사용,"사용자가 선택한 기간, 여행 제목 정보를 기반으로 새로운 여행 일정(틀)을 생성한다.",api/v1/plans,YES
여행 일정 상세 조회,API-011,"ADMIN, USER",GET,LOGOUT-USER: 브라우저 저장소 사용,지정한 여행 일정 ID에 해당하는 여행 계획의 상세 정보를 조회한다.,api/v1/plans/{planId},YES
여행 장소 상세 조회,API-012,"ADMIN, LOGOUT-USER, USER",GET,,지정한 장소 ID에 해당하는 여행 장소의 상세 정보를 조회한다.,api/v1/places/{placeId},NO
드라마 씬 주변 관광지 조회,API-013,"ADMIN, LOGOUT-USER, USER",GET,,지정한 드라마 씬 ID를 기준으로 해당 촬영지 주변의 관광지 목록을 조회한다.,api/v1/scenes/{sceneId}/nearby-attractions,NO
여행 계획 수정,API-014,"ADMIN, USER",PUT,LOGOUT-USER: 브라우저 저장소 사용,"로그인한 Member가 본인의 여행 계획 제목, 여행 기간, 세부 일정 정보를 수정합니다.",api/v1/plans/{planId},YES
여행 일정 리스트 조회,API-010,"ADMIN, USER",GET,LOGOUT-USER: 브라우저 저장소 사용,로그인한 사용자가 생성한 여행 일정 목록을 조회한다.,api/v1/plans,YES
여행 계획 삭제,API-015,"ADMIN, USER",DELETE,LOGOUT-USER: 브라우저 저장소 사용,사용자가 생성한 여행 계획을 삭제합니다.,api/v1/plans/{planId},YES
로그인,API-016,LOGOUT-USER,POST,,사용자의 로그인 정보를 검증하고 인증 토큰을 발급합니다.,api/v1/auth/login,NO
회원가입,API-017,LOGOUT-USER,POST,,신규 Member의 회원 정보를 등록하여 계정을 생성합니다.,api/v1/members,NO
회원 정보 조회,API-018,"ADMIN, USER",GET,,로그인한 Member의 회원 정보를 조회합니다.,api/v1/me,YES
회원 정보 수정,API-019,"ADMIN, USER",PATCH,,"로그인한 사용자의 닉네임, 프로필 등 회원 정보를 수정합니다.",api/v1/me,YES
회원 삭제,API-020,"ADMIN, USER",DELETE,,"로그인한 사용자의 회원 계정을 탈퇴 처리합니다. 탈퇴 후 해당 계정은 비활성화되며, 서비스 이용 및 로그인이 제한됩니다.",api/v1/me,YES
관리자 회원 목록 조회,API-021,ADMIN,GET,,서비스에 가입된 회원 목록을 조회합니다.,api/v1/members,YES
관리자 회원 조회,API-022,ADMIN,GET,,서비스에 가입된 특정 사용자의 정보를 조회합니다.,api/v1/members/{memberId},YES
관리자 회원 정보 수정,API-023,ADMIN,PATCH,,서비스에 가입된 특정 회원의 정보를 수정합니다.,api/v1/members/{memberId},YES
관리자 회원 삭제,API-024,ADMIN,DELETE,,서비스에 가입된 특정 사용자를 탈퇴시킵니다.,api/v1/members/{memberId},YES
